iter	Passed	Remaining
0	157	15580
1	161	7895
2	162	5250
3	163	3915
4	163	3114
5	164	2579
6	165	2200
7	166	1911
8	166	1685
9	167	1505
10	167	1358
11	168	1235
12	169	1132
13	169	1041
14	170	963
15	172	907
16	173	849
17	174	795
18	175	748
19	176	704
20	176	665
21	177	630
22	178	598
23	179	567
24	179	539
25	180	513
26	181	490
27	181	467
28	182	446
29	183	427
30	183	409
31	184	392
32	186	377
33	187	364
34	189	351
35	190	338
36	190	325
37	191	312
38	192	300
39	192	289
40	193	278
41	194	268
42	194	258
43	195	248
44	196	240
45	197	231
46	198	223
47	198	215
48	200	208
49	201	201
50	203	195
51	203	188
52	204	181
53	204	174
54	205	168
55	206	161
56	206	155
57	207	150
58	208	144
59	208	139
60	209	133
61	210	128
62	210	123
63	211	119
64	212	114
65	216	111
66	217	107
67	218	102
68	219	98
69	220	94
70	221	90
71	222	86
72	223	82
73	224	78
74	225	75
75	225	71
76	226	67
77	228	64
78	230	61
79	231	57
80	232	54
81	232	51
82	233	47
83	235	44
84	236	41
85	237	38
86	238	35
87	239	32
88	239	29
89	240	26
90	241	23
91	242	21
92	243	18
93	244	15
94	244	12
95	245	10
96	246	7
97	247	5
98	248	2
99	248	0
